노트,향/재료,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기
구르망,"달콤함, 디저트, 초콜릿, 밀크초콜릿, 다크초콜릿, 크림, 버터, 바닐라, 크렘브륄레, 퐁당쇼콜라, 케이크, 머랭, 캐러멜, 토피, 비스킷, 빵집, 베이킹, 설탕, 마카롱, 휘핑크림, 아이스크림, 브라우니, 쿠키, 타르트","크림색, 베이지, 골든브라운, 초콜릿브라운, 따뜻한 노을빛, 오븐 속 불빛, 달콤한 디저트 테이블, 크리스마스 장식","가을, 겨울, 늦가을, 연말","따뜻함, 포근함, 촉촉함, 건조함, 은은한 열기","맑음, 흐림, 눈, 실내","오후, 저녁, 밤","카페, 디저트샵, 홈파티, 겨울 축제, 가족모임, 소파 위","안락함, 로맨틱함, 부드러움, 향긋함, 편안함, 달달함, 행복감, 추억, 포만감, 유혹적"
그린,"풀잎, 신선한 허브, 민트, 녹차, 이끼, 나뭇잎, 바질, 로즈마리, 세이지, 들꽃, 풀내음, 새싹","초록색, 연두색, 청록색, 봄의 들판, 숲속 햇살, 나무 그림자, 아침이슬","봄, 여름, 초여름, 늦봄","서늘함, 촉촉함, 청량함, 상쾌함","맑음, 산들바람, 비온뒤","아침, 낮, 이른오후","정원, 산책로, 숲길, 캠핑장, 초원, 시골집 앞마당","싱그러움, 청량함, 건강함, 힐링, 안정감, 자유로움, 맑음, 깨끗함"
너티,"아몬드, 헤이즐넛, 피스타치오, 호두, 캐슈넛, 토피, 땅콩버터, 마카다미아, 볶은견과류, 구운아몬드, 아몬드우유","갈색, 크림색, 골드브라운, 토스트 컬러, 나무 식탁, 구운 견과 바구니","가을, 겨울, 늦가을","따뜻함, 고소함, 건조함, 포근함","맑음, 실내","아침, 오전, 오후","베이커리, 주방, 티타임, 홈카페, 오븐 앞","고소함, 담백함, 든든함, 안정감, 부드러움, 편안함, 가정적"
라벤더,"라벤더꽃, 허브, 세이지, 타임, 로즈마리, 라일락, 허브차, 프로방스 허브","보라색, 연보라, 라일락색, 건조한 꽃다발, 허브정원","봄, 여름, 초여름","서늘함, 건조함, 은은함, 차분함","맑음, 바람, 흐림","오후, 저녁, 늦은밤","정원, 침실, 스파, 목욕탕, 요가룸, 명상 공간","차분함, 평온함, 은은함, 편안함, 힐링, 내추럴, 부드러움, 로맨틱함"
럼,"럼주, 설탕, 바닐라, 시나몬, 넛맥, 오크통 숙성 럼, 캐러멜, 열대과일 칵테일","골든브라운, 호박색, 항해선, 오크통, 바 카운터","가을, 겨울, 늦가을","따뜻함, 묵직함, 건조함, 은은한 달콤함","맑음, 실내, 흐림","저녁, 밤","바, 라운지, 외항선, 파티, 항구","중후함, 달콤쌉싸름, 이국적, 관능적, 모험적, 편안한 취기"
레더,"가죽, 담배잎, 사향, 나무향, 왁스, 새 가죽백","짙은 갈색, 블랙, 빈티지 자동차 시트, 레더 자켓","가을, 겨울","서늘함, 건조함, 묵직함, 보온감","맑음, 흐림","저녁, 밤","서재, 고급 부티크, 자동차 내부, 남성 드레스룸","고급스러움, 강인함, 중후함, 신사적, 클래식함, 대담함"
레진,"송진, 발삼, 인센스, 미르, 올리바넘, 소나무 수액, 전통 향료","호박색, 금빛, 나무결, 촛불 흔들림","가을, 겨울","따뜻함, 건조함, 점성있는, 은은한 열기","맑음, 실내, 흐림","저녁, 밤","사원, 명상실, 아틀리에, 미술관","신비로움, 고요함, 무게감, 장엄함, 역사적, 영적인"
로즈,"장미, 로즈워터, 로즈오일, 다마스크 로즈, 화이트로즈, 건조장미잎","핑크색, 레드, 로즈가든, 장미 꽃다발, 로맨틱 테이블","봄, 여름","따뜻함, 촉촉함, 상쾌함","맑음, 흐림","아침, 오후","결혼식, 데이트, 발코니, 꽃시장, 카페","우아함, 로맨틱함, 사랑스러움, 관능적, 설렘, 화사함"
마린,"바닷물, 해조류, 소금, 바람, 바다거품, 조개껍질, 모래향","파란색, 청록색, 수평선, 파도치는 해변, 하얀 파도","여름, 초여름","시원함, 촉촉함, 짭짤함, 싱그러움","맑음, 바람, 흐림","아침, 낮","해변, 항구, 요트, 스노클링 장소","자유로움, 상쾌함, 개방감, 청량함, 경쾌함"
머스크,"화이트머스크, 파우더, 클린코튼, 알데하이드, 베이비파우더, 라이스파우더, 솜","하얀색, 크림색, 파스텔, 부드러운 패브릭, 화이트 린넨 시트","가을, 겨울, 봄","따뜻함, 포근함, 부드러움, 실내온기","맑음, 실내, 흐림","오전, 오후, 저녁","드레스룸, 호텔, 침실, 클린룸","부드러움, 로맨틱함, 청결함, 안락함, 따뜻함, 소프트함"
모씨,"이끼, 젖은 흙, 나무껍질, 이끼 낀 바위, 숲속 공기, 흙내음","어두운 초록, 갈색, 안개낀 숲, 습한 나무 표면","봄, 여름, 가을","서늘함, 촉촉함, 차분함, 자연스러움","흐림, 비, 비온뒤","아침, 오후","숲속, 그늘진 정원, 산책로","차분함, 고요함, 신비로움, 자연친화적, 편안함"
바닐라,"바닐라빈, 바닐라파우더, 크림, 설탕, 생크림, 버터, 머랭, 마시멜로, 연유, 푸딩, 케이크, 토피, 화이트초콜릿","아이보리, 크림색, 머랭 텍스처, 부드러운 리넨천, 베이킹 테이블","가을, 겨울, 봄","따뜻함, 촉촉함, 달콤함, 부드러움","맑음, 흐림, 실내","오전, 오후, 저녁","베이커리, 카페, 홈, 디저트숍, 부엌","달콤함, 부드러움, 안락함, 로맨틱, 포근함, 따뜻함, 위로"
바이올렛,"바이올렛꽃, 아이리스, 파우더, 제비꽃, 향수, 보라빛 허브","연보라, 라일락, 바이올렛 컬러, 파스텔, 꽃밭","봄, 가을","서늘함, 부드러움, 건조함","맑음, 바람","오전, 오후","정원, 발코니, 드레스룸","우아함, 청초함, 부드러움, 차분함, 클래식, 순수함"
발사믹,"발사믹수지, 송진, 나무, 고목, 숲의 송진, 황금빛 수지, 발사믹 비네거 노트","갈색, 금빛, 어두운목재, 촛불","가을, 겨울","따뜻함, 묵직함, 건조함","맑음, 실내, 어스름","저녁, 밤","서재, 사원, 갤러리, 고풍스러운 방","고요함, 묵직함, 고급스러움, 차분함, 장엄함"
소프트 스파이시,"시나몬, 넛맥, 카다멈, 생강, 소프트페퍼, 은은한 허브 스파이스","베이지, 크림, 브라운, 따뜻한 천, 벽난로의 불빛","가을, 겨울","따뜻함, 온화함, 촉촉함","맑음, 흐림, 실내","오후, 저녁","거실, 티타임, 벽난로 옆, 서재","포근함, 온화함, 안정감, 차분함, 아늑함"
솔티,"바닷소금, 소금결정, 바다바람, 해초, 해양미네랄","하얀색, 푸른빛, 바다, 수평선, 햇살 반짝임","여름, 봄","시원함, 건조함, 짭조름함","맑음, 바람","아침, 낮","해변, 요트, 선착장, 휴양지","청량함, 자유로움, 상쾌함, 활기참"
솔티 스모키,"소금, 훈연향, 바다안개, 모래사장 불빛, 해안 모닥불","짙은 회색, 파도, 모닥불빛, 흰포말","가을, 겨울","서늘함, 건조함, 짭조름함, 연기향","바람, 흐림","저녁, 밤","바닷가, 캠프파이어, 해변산책","중후함, 깊이감, 신비로움, 자유로운 감성"
스모키,"훈연향, 장작불, 탄나무, 담배연기, 모닥불, 벽난로, 재향","짙은 갈색, 재, 불씨, 장작더미","가을, 겨울","따뜻함, 건조함, 강렬함","흐림, 눈, 실내","저녁, 밤","산장, 벽난로 옆, 야외캠프","따뜻함, 무게감, 고즈넉함, 안정감"
스위트,"설탕, 시럽, 꿀, 사탕, 젤리, 마시멜로, 크림, 카라멜, 토피","하얀색, 금빛, 파스텔톤, 귀여운 장식","봄, 가을, 겨울","따뜻함, 촉촉함, 달콤함","맑음, 흐림","오전, 오후","카페, 디저트숍, 홈파티","사랑스러움, 부드러움, 행복감, 발랄함, 귀여움"
스파이시,"후추, 정향, 시나몬, 카다멈, 고추씨, 팔각, 생강, 큐민","레드, 오렌지, 브라운, 따뜻한 직물","가을, 겨울","따뜻함, 건조함, 강렬함","맑음, 흐림","저녁, 밤","바, 이국적 레스토랑, 주방","강렬함, 이국적, 열정적, 모험적"
시나몬,"계피, 시나몬파우더, 베이킹스파이스, 시나몬스틱, 시나몬롤","밤색, 붉은 갈색, 쿠키, 따뜻한 빛","가을, 겨울","따뜻함, 촉촉함, 달콤쌉싸름함","맑음, 실내, 흐림","오전, 오후","주방, 카페, 서재","포근함, 달콤쌉싸름함, 안정감"
시트러스,"시트러스, 레몬, 오렌지, 자몽, 라임, 유자, 칼라만시, 베르가못","노란색, 주황색, 해, 태양, 반짝임","봄, 여름, 초여름","따뜻함, 건조함, 청량함","맑음, 쨍쨍함, 화창함","아침, 낮","해변, 피크닉, 수영장, 브런치카페","청량함, 상큼함, 발랄함, 경쾌함, 산뜻함"
아로마틱,"바질, 로즈마리, 타임, 민트, 세이지, 오레가노, 허브","녹색, 허브정원, 잎 그림자, 신선한 채소","봄, 여름","서늘함, 촉촉함, 신선함","맑음, 바람","아침, 낮","정원, 주방, 허브농장","상쾌함, 건강함, 힐링, 안정감"
아몬드,"아몬드, 아몬드밀크, 마지팬, 볶은아몬드, 아몬드쿠키","연갈색, 크림색, 구운빵, 고소한 빛","가을, 겨울","따뜻함, 건조함, 고소함","맑음, 실내","오전, 오후","베이커리, 카페, 주방","고소함, 포근함, 안정감, 친근함"
아이리스,"아이리스, 바이올렛, 파우더, 연꽃, 은방울꽃","연보라, 파스텔, 부드러운 질감, 골든라이트","봄, 가을","서늘함, 건조함, 은은함","맑음, 바람","오전, 오후","정원, 발코니, 파우더룸","우아함, 섬세함, 고요함, 클래식함"
아쿠아틱,"바닷물, 시원한 바람, 수박, 오이, 워터릴리, 민트","하늘색, 청록색, 물결, 투명한 물방울","여름, 초여름","시원함, 촉촉함, 청량함","맑음, 바람","아침, 낮","해변, 수영장, 선착장","깨끗함, 청량함, 상쾌함, 시원함"
알데하이드,"비누향, 샴푸, 그린애플, 신선한 린넨, 목화","하얀색, 거품, 맑은 빛, 티타늄화이트","봄, 여름","시원함, 건조함, 상쾌함","맑음, 화창함","아침","욕실, 침실, 세탁실","청결함, 상쾌함, 밝음, 신선함"
알코올,"위스키, 럼, 보드카, 진, 리큐어, 브랜디","투명, 황금빛, 오크통, 크리스탈잔","가을, 겨울","따뜻함, 건조함, 강렬함","맑음, 흐림","저녁, 밤","바, 라운지, 파티, 골프클럽","강렬함, 묵직함, 사교적, 성숙함"
앰버,"호박, 송진, 시나몬, 머스크, 바닐라","호박색, 금빛, 따뜻한 빛, 앤티크목재","가을, 겨울","따뜻함, 건조함, 포근함","맑음, 흐림","저녁, 밤","골동품가게, 서재, 고요한 방","고급스러움, 편안함, 안정감, 전통적"
얼디,"흙, 나무뿌리, 이끼, 낙엽, 젖은 흙냄새","갈색, 진한 초록, 숲속 풍경","봄, 가을","서늘함, 촉촉함, 신선함","흐림, 비온뒤","오전, 오후","정원, 숲속, 산책로","차분함, 평온함, 자연스러움, 안정감"
오우드,"아가우드, 사향, 나무수지, 스모키우드","짙은 갈색, 검은색, 나무결, 황금빛 포인트","가을, 겨울","따뜻함, 건조함, 묵직함","맑음, 흐림","저녁, 밤","사원, 서재, 명상실","묵직함, 고급스러움, 신비로움, 진중함"
우디,"삼나무, 오크, 소나무, 전나무, 편백","갈색, 나무결, 숲속, 원목 가구","가을, 겨울","따뜻함, 건조함, 내추럴함","맑음, 서리","오전, 오후","산장, 서재, 목재 작업실","안정감, 편안함, 차분함, 포근함"
웜 스파이시,"시나몬, 넛맥, 정향, 생강, 카다멈","오렌지, 브라운, 레드, 따뜻한 빛","가을, 겨울","따뜻함, 건조함, 포근함","맑음, 흐림","저녁","거실, 주방, 벽난로 옆","포근함, 온화함, 부드러움, 안정감"
위스키,"싱글몰트위스키, 오크통, 바닐라향, 토피","황금빛, 갈색, 바 카운터, 양주잔","가을, 겨울","따뜻함, 건조함, 묵직함","맑음, 흐림, 실내","밤","바, 라운지, 서재","묵직함, 고급스러움, 따뜻함, 은은함"
체리,"체리, 체리쥬스, 체리파이, 체리사탕","빨간색, 루비색, 과일바구니, 빛나는 과일","봄, 여름","따뜻함, 촉촉함, 상큼함","맑음, 화창함","오전, 오후","피크닉, 디저트타임, 축제","상큼함, 발랄함, 사랑스러움, 명랑함"
카라멜,"캐러멜, 토피, 설탕, 버터, 팝콘 시럽","황금빛, 갈색, 크림, 달콤한 빛","가을, 겨울","따뜻함, 촉촉함, 달콤함","맑음, 실내, 흐림","오전, 오후","카페, 주방, 베이커리","달콤함, 부드러움, 포근함, 행복"
카카오,"다크초콜릿, 코코아, 카카오닙스","짙은 갈색, 브라운, 블랙, 따뜻한 직물","가을, 겨울","따뜻함, 건조함, 진함","흐림, 실내","저녁","카페, 거실, 서재","깊이감, 진함, 고급스러움, 차분함"
커피,"에스프레소, 라떼, 아라비카빈, 모카","갈색, 크림색, 커피잔, 카페 인테리어","가을, 겨울, 봄","따뜻함, 건조함, 진함","맑음, 흐림, 실내","아침, 오후","카페, 사무실, 도서관","진함, 편안함, 안정감, 집중"
코코넛,"코코넛밀크, 과육, 코코넛워터, 야자수","하얀색, 갈색, 바닷가 풍경, 캐리비안","여름, 봄","따뜻함, 촉촉함, 달콤함","맑음, 화창함","오전, 오후","해변, 리조트, 수영장","달콤함, 부드러움, 여유로움, 휴양"
타바코,"담뱃잎, 말린나뭇잎, 시가, 파이프향","갈색, 짙은 갈색, 빈티지 서재","가을, 겨울","따뜻함, 건조함, 묵직함","흐림, 실내","저녁, 밤","서재, 라운지, 흡연실","묵직함, 중후함, 남성적, 은은함"
튜베로즈,"튜베로즈, 재스민, 백합, 오렌지블로섬","하얀색, 크림색, 정원, 꽃다발","봄, 여름","따뜻함, 촉촉함, 달콤함","맑음, 화창함","오전, 오후","결혼식, 발코니, 정원파티","로맨틱함, 우아함, 풍성함, 밝음"
트로피칼,"파인애플, 망고, 코코넛, 바나나, 패션프루트","노란색, 주황색, 초록색, 이국적 풍경","여름","따뜻함, 촉촉함, 달콤함","맑음, 화창함","오전, 오후","해변, 수영장, 리조트","달콤함, 상큼함, 휴양감, 열정적"
파우더리,"파우더, 탈크, 플로랄파우더, 베이비파우더","아이보리, 크림색, 파스텔톤, 메이크업 테이블","봄, 가을, 겨울","따뜻함, 건조함, 은은함","맑음, 흐림","오전, 오후","드레스룸, 침실, 파우더룸","부드러움, 은은함, 안정감, 차분함"
파우더리 머스크,"파우더, 머스크, 화이트머스크, 클린코튼","아이보리, 회색, 파스텔, 린넨천","가을, 겨울","따뜻함, 건조함, 포근함","맑음, 실내","저녁, 밤","침실, 서재, 호텔룸","포근함, 부드러움, 은은함, 안락함"
패츌리,"패츌리잎, 흙, 나무, 동양향료","초록색, 갈색, 수풀, 토양","가을, 겨울","서늘함, 촉촉함, 묵직함","흐림","오전, 오후","숲속, 정원, 사원","차분함, 고급스러움, 은은함, 신비로움"
프레쉬,"레몬, 민트, 바질, 그린애플","하늘색, 연두색, 맑은 하늘, 투명한 물방울","봄, 여름","시원함, 촉촉함, 상쾌함","맑음, 화창함","아침, 낮","공원, 산책로, 야외카페","상쾌함, 활기참, 건강, 청량감"
프레쉬 스파이시,"생강, 라임, 고수씨, 민트, 레몬그라스","연두색, 라임색, 하늘색, 신선한 허브다발","봄, 여름","시원함, 건조함, 가벼움","맑음, 바람","아침, 낮","야외카페, 피크닉, 해변","산뜻함, 경쾌함, 가벼움, 활발함"
프루티,"복숭아, 사과, 망고, 베리, 수박, 멜론, 자두, 포도","다홍색, 분홍색, 노란색, 과일바구니","봄, 여름","따뜻함, 촉촉함, 상큼함","맑음, 화창함","오전, 오후","피크닉, 야외파티, 시장","경쾌함, 사랑스러움, 화사함, 즐거움"
플로랄,"장미, 백합, 프리지아, 재스민, 오렌지블로섬","분홍색, 하얀색, 노란색, 꽃다발","봄, 여름","따뜻함, 촉촉함, 화사함","맑음, 흐림","아침, 오후","정원, 결혼식, 꽃시장","로맨틱함, 화사함, 청순함, 설렘"
허니,"벌꿀, 밀랍, 꽃꿀, 아카시아꿀","황금색, 노란색, 투명한 꿀방울","가을, 겨울","따뜻함, 촉촉함, 달콤함","맑음, 흐림","오전, 오후","주방, 카페, 정원","달콤함, 부드러움, 풍요로움, 온화함"
허벌,"파슬리, 바질, 로즈마리, 타임, 샐비어","초록색, 허브정원, 신선한 잎사귀","봄, 여름","시원함, 촉촉함, 향긋함","맑음, 흐림, 바람","아침, 낮","정원, 주방, 산책로","상쾌함, 신선함, 건강, 힐링"
허브,"민트, 세이지, 오레가노, 딜, 타라곤","초록색, 허브잎, 정원 풍경","봄, 여름","시원함, 촉촉함, 신선함","맑음, 흐림","아침, 낮","정원, 주방, 허브밭","신선함, 건강, 상쾌함, 향긋함"
화이트 플로랄,"백합, 재스민, 튜베로즈, 오렌지블로섬","하얀색, 크림색, 순백의 드레스, 화이트가든","봄, 여름","따뜻함, 촉촉함, 우아함","맑음, 화창함","아침, 오후","결혼식, 파티, 정원","순수함, 청순함, 우아함, 로맨틱함"



